uncertainty_type,split,n_samples,MAE,RMSE,MDAE,R2,MACE,RMSCE,miscalibration_area,sharpness,NLL,CRPS,seed
total,test,768,92.52741903900944,147.72301579489604,47.238250732421875,0.7119468989166976,0.029859138257575742,0.036031024515652744,0.030147463890497304,140.58700561523438,7.502231767483324,69.07903094180502,123
aleatoric,test,768,92.52741903900944,147.72301579489604,47.238250732421875,0.7119468989166976,0.024491398358585884,0.03760305644197922,0.0245967795578841,135.465576171875,8.049090638736596,69.25072124755421,123
epistemic,test,768,92.52741903900944,147.72301579489604,47.238250732421875,0.7119468989166976,0.2420052083333334,0.2719759860545526,0.24444970538720548,37.60029220581055,17.514692517973625,78.79654557556054,123
total,test,768,92.08473085174028,145.83727432506382,48.00923156738281,0.7134762320630694,0.03215909090909095,0.04704957932816046,0.032475458412958444,102.33055877685547,7.908814107967842,69.55294661890777,124
aleatoric,test,768,92.08473085174028,145.83727432506382,48.00923156738281,0.7134762320630694,0.057981770833333376,0.07051288654043801,0.05856744528619533,95.74308013916016,8.442517796528021,70.14199521238055,124
epistemic,test,768,92.08473085174028,145.83727432506382,48.00923156738281,0.7134762320630694,0.2570052083333334,0.2891233996613635,0.2596012205387206,36.12211227416992,23.049438186781362,78.85099182372775,124
total,test,768,103.74424633228934,163.90504282330036,56.83745117187499,0.6763415459604174,0.036201467803030345,0.043784951344858505,0.03656219159990716,133.6669921875,7.89163909883469,76.12822700752771,125
aleatoric,test,768,103.74424633228934,163.90504282330036,56.83745117187499,0.6763415459604174,0.05945904356060609,0.06667198776433518,0.06004660087719302,129.79229736328125,8.524081149472465,76.63638081948163,125
epistemic,test,768,103.74424633228934,163.90504282330036,56.83745117187499,0.6763415459604174,0.29015625000000006,0.3316553424551504,0.2930871212121212,31.950336456298828,24.55653161376429,91.15986680706071,125
total,test,768,102.161918400495,162.3993522663596,53.099496841430664,0.6728505770258737,0.05700520833333336,0.0647196742909992,0.05758101851851855,116.7341079711914,7.027314437371739,75.33677863718906,126
aleatoric,test,768,102.161918400495,162.3993522663596,53.099496841430664,0.6728505770258737,0.08593750000000004,0.09617334760395865,0.08680555555555561,111.56962585449219,7.677966996016903,76.03830345203895,126
epistemic,test,768,102.161918400495,162.3993522663596,53.099496841430664,0.6728505770258737,0.28179687500000006,0.3224669900367563,0.28464330808080807,34.33763122558594,16.937933032391133,88.91045058380224,126
total,test,768,90.71089112303594,146.9525764125792,46.81869125366211,0.714456014140309,0.01514125631313132,0.02556003884722673,0.015228010020474508,124.29996490478516,7.023679859848464,67.4180716001261,127
aleatoric,test,768,90.71089112303594,146.9525764125792,46.81869125366211,0.714456014140309,0.03376617739898994,0.04234028389663262,0.034095269672627666,118.32534790039062,7.344838352200804,67.71161868579821,127
epistemic,test,768,90.71089112303594,146.9525764125792,46.81869125366211,0.714456014140309,0.2518229166666667,0.2854731430117793,0.2543665824915825,38.07353591918945,17.33684361149949,77.24205277505348,127
total,test,768,87.23972583393255,144.80849489574163,43.707794189453125,0.7346385193972804,0.03226444128787879,0.03687365603870065,0.03257863023488023,105.59259796142578,6.471120779187243,65.34880366291202,128
aleatoric,test,768,87.23972583393255,144.80849489574163,43.707794189453125,0.7346385193972804,0.021744397095959624,0.03222188111659163,0.02190258822538734,98.47750854492188,6.716198351217693,65.53719049062427,128
epistemic,test,768,87.23972583393255,144.80849489574163,43.707794189453125,0.7346385193972804,0.19390625000000003,0.21909633740656795,0.19586489898989903,38.10480499267578,13.158954627875348,73.81463666366416,128
total,test,768,94.99714852721895,154.23890893411544,47.301570892333984,0.6814381580027569,0.054410116792929314,0.07392538837224476,0.05492105180030173,106.78956604003906,9.27782545176329,73.94571229112024,129
aleatoric,test,768,94.99714852721895,154.23890893411544,47.301570892333984,0.6814381580027569,0.08845643939393943,0.10723924395216392,0.08934421175663217,100.25341796875,10.930684154182373,74.71936465131483,129
epistemic,test,768,94.99714852721895,154.23890893411544,47.301570892333984,0.6814381580027569,0.23335937500000004,0.26576237372583755,0.23571654040404041,36.786746978759766,22.073647787696654,82.22821387954666,129
total,test,768,108.50078369391463,171.5949294952256,55.79156446456909,0.6332412017017226,0.056562500000000036,0.06602498274456371,0.057133838383838426,132.9274139404297,8.492618783213347,80.98613643483989,130
aleatoric,test,768,108.50078369391463,171.5949294952256,55.79156446456909,0.6332412017017226,0.08131510416666671,0.09231868223332662,0.08213646885521891,128.69052124023438,9.300651917244036,81.60951305753257,130
epistemic,test,768,108.50078369391463,171.5949294952256,55.79156446456909,0.6332412017017226,0.29348958333333336,0.33750684707190426,0.2964541245791246,33.29335021972656,27.304384425638755,95.56089086050474,130
total,test,768,98.66678116026613,157.66717779384507,52.501190185546875,0.7018193202979004,0.038030303030303074,0.051643045096348136,0.03833166338490295,123.54499816894531,7.424213104323516,74.38101532472893,131
aleatoric,test,768,98.66678116026613,157.66717779384507,52.501190185546875,0.7018193202979004,0.07305318813131317,0.08632761021164523,0.0737821206571207,118.55338287353516,8.237278772473017,75.02989179997914,131
epistemic,test,768,98.66678116026613,157.66717779384507,52.501190185546875,0.7018193202979004,0.25009114583333336,0.28460660125802906,0.25261731902356904,34.762916564941406,17.107044843122264,85.19386815694327,131
total,test,768,98.6204175454285,152.98676512717532,57.83464431762695,0.7126967832348234,0.03597261679292926,0.04262404901806108,0.03630999293817762,141.14035034179688,6.25937474944691,70.25383792872482,132
aleatoric,test,768,98.6204175454285,152.98676512717532,57.83464431762695,0.7126967832348234,0.020055239898989875,0.02533257698580815,0.020193794014648984,136.75100708007812,6.319813808929985,70.26651788594792,132
epistemic,test,768,98.6204175454285,152.98676512717532,57.83464431762695,0.7126967832348234,0.2666145833333334,0.3017822312674655,0.26930765993266,34.925079345703125,15.682391297224768,84.77520713644076,132
