split,n_samples,MAE,RMSE,MDAE,R2,MACE,RMSCE,miscalibration_area,sharpness,NLL,CRPS,seed
train,1789,29.24142446053703,47.18231829970976,16.687004111809415,0.9717990536724558,0.2811794298490777,0.3158430120661215,0.28401962611017945,97.11441594107144,5.620569749654697,30.670697043240885,123
test,768,96.57794290340645,140.4570026516144,61.15080483294557,0.7395867862508683,0.0996519886363636,0.11117118983680838,0.10064669384932122,157.7494264449355,6.317607608283741,73.08744661354132,123
train,1789,30.104100572729532,49.29415819368972,17.840919732398703,0.9694674070955009,0.2822135271101173,0.3178386555033423,0.28506416879809837,99.72640692619689,5.6505772619526216,31.55526711661647,124
test,768,96.05762196650994,138.77075598120757,63.66536191756191,0.7405704248339138,0.0993339646464646,0.1122461883075565,0.10032993626743626,157.58223959810908,6.334536533291021,73.20941913998779,124
train,1789,26.62038462663818,43.46712708718797,15.633236898023142,0.975072571119963,0.29040804918949126,0.32733327020822217,0.293341463827769,92.9115488062675,5.568066226958407,28.74402180849315,125
test,768,98.93479230458438,144.27694772413733,62.78380629897515,0.7492180840150984,0.08909209280303028,0.09999356489958011,0.08998541798780026,157.239289144886,6.323411495770713,74.38630175622107,125
train,1789,28.301842149980104,46.22096194552579,16.485930742795688,0.9721877915101976,0.28519284516489657,0.32105918862961724,0.288073580974643,95.75371700528869,5.6065225988177625,30.046990504235293,126
test,768,98.68305451849913,142.97563156269084,63.24244510534005,0.7464278106085807,0.09905303030303025,0.11069450806090776,0.10004721444809024,160.8556877238385,6.3369200832620045,74.63187436298186,126
train,1789,29.891131935386017,48.15983663582107,17.955452498209524,0.9706324572050441,0.28258803801006144,0.3187522559609936,0.28544246263642575,100.13808230605602,5.648537172966361,31.413630509594967,127
test,768,93.31305950341401,132.82305753975805,60.456562520114744,0.7667264197930194,0.10718631628787875,0.12149021095388365,0.10826861217486215,158.83312163060623,6.235172259040176,69.9583599228006,127
train,1789,25.004005392439577,40.932564439775234,14.745332977341752,0.9783916243109891,0.29658468418110673,0.33467750921219586,0.29958048907182505,90.3346961730783,5.531794608626679,27.56249564922015,128
test,768,93.83580880769235,138.90619236158096,58.828124925897384,0.7558295992318356,0.11029000946969691,0.12307602802525186,0.1113951153013653,160.3665563360421,6.309631774404607,71.54193075540161,128
train,1789,24.459613847725716,39.88579582111916,14.018569605073253,0.9799648451536191,0.29304639463387366,0.3288077548781485,0.296006459226135,87.10006639636177,5.49876542239294,26.724537625608182,129
test,768,101.36551770360815,147.62151488055983,68.42227069626988,0.708186633774316,0.08141493055555554,0.09264750404616584,0.08222320518784332,156.3595304327333,6.375064207703076,76.33002316021303,129
train,1789,24.1182978838867,39.85520914762801,13.37181794425237,0.9793702486314526,0.29645612073784233,0.3342631593336893,0.2994506270079215,87.1162750624181,5.498158636828352,26.713724426973727,130
test,768,102.7258761288122,156.42313728634238,58.98648010614674,0.6952290113262451,0.10089291351010099,0.11216226524447487,0.10189767566857534,160.8205514207333,6.410541133176377,78.4471554345596,130
train,1789,21.94177433168456,35.69117526900258,12.92602945902101,0.9831580993758147,0.30348798211291217,0.34164537389880967,0.3065535172857699,83.10143988317427,5.437781466706217,24.84725374270243,131
test,768,100.67140651416844,146.2216168401366,61.285394668798375,0.7435397412398839,0.08781486742424238,0.10028891906779488,0.0886983386983387,157.20207845293126,6.389728355656486,75.1093889724706,131
train,1789,26.064546188757692,42.51267576855804,15.554165134743357,0.9763365763609652,0.2973001676914477,0.33564953790322727,0.300303199688331,94.73395746826918,5.577948157911511,28.771323083381713,132
test,768,93.85371689225433,133.00979214356505,58.687545019140856,0.7828299182657134,0.11246093749999997,0.12432059971993399,0.11359690656565653,164.03631031858532,6.236162144532844,69.80688934332368,132
