seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1035,0.23230348160282213,0.2007459481732287,0.44804681471161995,0.9702567199929399
123,test,444,0.33598566004613467,0.25324397921097486,0.5032335235365136,0.9390178258151086
124,train,1035,0.22350975050477095,0.1666762264245061,0.40825999856036116,0.9733453111646195
124,test,444,0.35050455647096934,0.350290857927845,0.5918537470759521,0.9341222935615823
125,train,1035,0.22902510388868327,0.19896376245357308,0.4460535421376823,0.9649927387556015
125,test,444,0.39332057147827837,0.9360620327522194,0.9675029884978235,0.859237067546825
126,train,1035,0.22069628686448137,0.1933335628703894,0.4396971262930762,0.9656306360824334
126,test,444,0.38730801937735215,0.5165770686737279,0.7187329606145303,0.9236631675836666
127,train,1035,0.2129408060894723,0.1394706282176152,0.3734576658975086,0.9787365861417021
127,test,444,0.3427243393577829,0.2679499558490615,0.5176388276096197,0.9418849831796872
128,train,1035,0.23555756007797204,0.20459797848229327,0.45232508053643594,0.9685220303413645
128,test,444,0.339398670521523,0.2714439989709525,0.5210028780831758,0.9420185541264797
129,train,1035,0.21717782913818995,0.18621897811940488,0.43153097005823915,0.9661416873675881
129,test,444,0.40973797104099763,0.689205930242597,0.8301842748707042,0.9026170834998303
130,train,1035,0.22120776363287137,0.18224012492276326,0.42689591813785627,0.96761706019232
130,test,444,0.3856238013163216,0.6455428707973585,0.803456825720809,0.9048110380256617
131,train,1035,0.22649251587287597,0.1831498392899979,0.42796009076781666,0.9703470649927173
131,test,444,0.33666100427494583,0.28232125998921287,0.5313391195735666,0.9486707801388088
132,train,1035,0.22561980820683017,0.21394313968642226,0.4625398790227955,0.9643017467616517
132,test,444,0.3805366123924671,0.4701672532304495,0.6856874311451607,0.9207177243419753
