seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,737,0.0958123505115509,0.018585126847028732,0.1363272784406288,0.9562798142433167
123,test,316,0.10174517333507538,0.020433075726032257,0.142944309876372,0.9534794092178345
124,train,737,0.08991214632987976,0.01652122288942337,0.12853490922478364,0.9625075459480286
124,test,316,0.09507284313440323,0.018014006316661835,0.13421626695993982,0.9554213285446167
125,train,737,0.0882890522480011,0.013485413044691086,0.11612671115936715,0.9668377041816711
125,test,316,0.1027756929397583,0.019398553296923637,0.13927868931363346,0.9597243070602417
126,train,737,0.09673316776752472,0.0211385078728199,0.14539087960673427,0.9515649080276489
126,test,316,0.10233268141746521,0.02256932482123375,0.15023090501369465,0.9454595446586609
127,train,737,0.10134024173021317,0.02107597142457962,0.14517565713500188,0.9509397745132446
127,test,316,0.12554457783699036,0.027957269921898842,0.1672042760275551,0.9335061311721802
128,train,737,0.09080996364355087,0.01759042777121067,0.1326289100129028,0.9589971303939819
128,test,316,0.0937020555138588,0.017214210703969002,0.13120293710115258,0.9600041508674622
129,train,737,0.09299743175506592,0.016111571341753006,0.12693136468876795,0.9602876901626587
129,test,316,0.10367844998836517,0.0253363735973835,0.159174035562913,0.9477908611297607
130,train,737,0.1288570761680603,0.03990529850125313,0.1997631059561628,0.9149319529533386
130,test,316,0.12023739516735077,0.030064061284065247,0.17338991113690913,0.9100522398948669
131,train,737,0.07734661549329758,0.011382347904145718,0.10668808698325094,0.9735361933708191
131,test,316,0.09028538316488266,0.014776714146137238,0.12155950866196046,0.9654685854911804
132,train,737,0.07057861983776093,0.008753499947488308,0.0935601408051971,0.9801675081253052
132,test,316,0.08100589364767075,0.013244141824543476,0.1150831952308567,0.9670981168746948
