seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1035,0.025588729278262022,0.0012671667923269939,0.0355972863056581,0.9523374976689052
123,test,444,0.03072534478273263,0.0017603072032596088,0.041956015102242596,0.9211154121230986
124,train,1035,0.02439113179269258,0.0011525470825210344,0.033949183827023506,0.9553470081842464
124,test,444,0.03159301619040172,0.0019324262748257608,0.043959370728273175,0.9202739907639343
125,train,1035,0.024599402874312167,0.001204145596048831,0.034700801086557514,0.951210183230732
125,test,444,0.03205720444930009,0.0018733536571877904,0.04328225568507019,0.92968057441289
126,train,1035,0.026194660287774653,0.0013451637063554317,0.036676473472178756,0.9444531201172275
126,test,444,0.03177439333247873,0.001737892057782943,0.04168803254871766,0.9378766957586104
127,train,1035,0.02578866044525228,0.001271860499156616,0.03566315324191926,0.9507142908084222
127,test,444,0.030926800994584676,0.0017915730979339542,0.04232697836999417,0.9256293130154286
128,train,1035,0.02518067635457723,0.0011964190757700543,0.03458929134530013,0.9541351925286327
128,test,444,0.030571682732051762,0.001915423056666852,0.04376554645685179,0.9186624382077503
129,train,1035,0.024570516583425104,0.0011502727694916407,0.033915671443915725,0.9535504561664048
129,test,444,0.03294697021492321,0.002081083468713763,0.04561889376907076,0.9220489902932487
130,train,1035,0.025573181437241348,0.0012761872244668037,0.03572376274228127,0.9486762050179016
130,test,444,0.033558255384960975,0.0020322453409305817,0.045080431907098914,0.9231856211630523
131,train,1035,0.026050925962234128,0.0013126621126567906,0.03623067916361478,0.9489566000671289
131,test,444,0.03214795191267154,0.0018942256630074144,0.043522702845841435,0.9226092515199174
132,train,1035,0.026473413272209423,0.0012913808125659988,0.03593578735141334,0.9481329737873302
132,test,444,0.0290442445914159,0.0016234333790443685,0.040291852514427386,0.9384748889550555
