seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1035,0.021657362386389198,0.0008510872676441055,0.029173400001441474,0.9679876799773455
123,test,444,0.03294041988869324,0.0018610819925056964,0.04314025953220143,0.9165993948601238
124,train,1035,0.02118343048924001,0.0008415496369814366,0.029009474951840072,0.9673959444932293
124,test,444,0.03559895732730542,0.0022860892190960432,0.047813065359753326,0.9056829372636455
125,train,1035,0.021496554437605998,0.0008587049072756663,0.02930366713016762,0.9652068194890013
125,test,444,0.036816105399104945,0.002280755173786652,0.047757252577871896,0.9143880851807419
126,train,1035,0.021242656677903184,0.0008297159724207816,0.028804790789394418,0.9657378999752042
126,test,444,0.03657182248290859,0.0023936145622619467,0.048924580348347874,0.914437007165038
127,train,1035,0.021211202182797494,0.0007919013679103245,0.028140742135031274,0.9693131278523692
127,test,444,0.03406057908969821,0.0020081512737401726,0.044812400892388846,0.916638852208025
128,train,1035,0.021877162442566198,0.0008586172812067039,0.029302171953742677,0.967084847532385
128,test,444,0.03367215110499188,0.0021244109297865583,0.0460913324800505,0.9097878640062236
129,train,1035,0.021291818371063188,0.0008369809880751571,0.028930623706984907,0.9662015948524413
129,test,444,0.03721247539895496,0.0025089741629312607,0.050089661237936726,0.9060215160665701
130,train,1035,0.021241186663565222,0.0008332894149989536,0.028866752761593284,0.9664880087527694
130,test,444,0.03817274213740676,0.0025110633413325785,0.05011051128588271,0.9050873598281355
131,train,1035,0.02145395957327363,0.0008659852931929725,0.029427628059240055,0.9663258097950521
131,test,444,0.03797153441270092,0.002622424709706701,0.05120961540283915,0.8928578494736238
132,train,1035,0.02195083490032464,0.0008423483599104708,0.029023238274018818,0.9661679157390741
132,test,444,0.03502739295739732,0.002338989718240902,0.04836310285993758,0.9113566321813185
