seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1789,45.403228320849635,5646.08520866681,75.1404365749016,0.9284758742806238
123,test,768,76.71876139322916,15312.222092055817,123.74256378488292,0.7978776010790893
124,train,1789,45.98246979508105,5970.6502026776925,77.26998254612002,0.9249770034614605
124,test,768,76.37033834140625,15100.393156365337,122.88365699459524,0.7965714840399858
125,train,1789,45.77657778099497,5730.283151036009,75.69863374616486,0.9243982768329433
125,test,768,75.92515067291667,15579.641245920997,124.81843311755279,0.8123019429379406
126,train,1789,46.34140957428731,5514.488275461378,74.25960056087952,0.9282102014619088
126,test,768,74.23066766432292,16043.358358411553,126.66237941240308,0.800990935773347
127,train,1789,45.30459527043041,5646.589967148255,75.14379526712938,0.9285036530726494
127,test,768,75.05355759921875,13992.911527230981,118.29163760482388,0.8149765833422237
128,train,1789,45.19278670139743,5584.911587345922,74.73226603914752,0.927972139305215
128,test,768,75.67248196223959,15272.151085285726,123.58054493036404,0.8067364225903093
129,train,1789,44.39831839642258,5316.166206878407,72.9120443197035,0.9330493604002835
129,test,768,79.95952867890625,17748.121659143228,133.22207647061813,0.7623388128979596
130,train,1789,44.74526944192286,5458.671837841309,73.88282505319697,0.9291057854604731
130,test,768,80.75810728281249,18200.522474922134,134.90931203931822,0.773297925061552
131,train,1789,45.26425446148686,5559.7820869480165,74.56394629409053,0.9264932582995918
131,test,768,77.07237500651041,16976.432785433815,130.29364061777466,0.7963692546833399
132,train,1789,47.19510749144773,5943.818387583849,77.09616324813997,0.9221773117054922
132,test,768,68.67461205520833,11860.517948399474,108.9060051071541,0.8544083659736448
